 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos maternosÓbitos maternos tardios por Município
Período:1996-2021
"Município";"Óbitos_maternos";"Óbitos_maternos_tardios"
"260100 ANGELIM";-;-
"260105 ARACOIABA";3;-
"260110 ARARIPINA";36;2
"260120 ARCOVERDE";11;-
"260130 BARRA DE GUABIRABA";4;-
"260140 BARREIROS";21;-
"260150 BELEM DE MARIA";6;1
"260160 BELEM DE SAO FRANCISCO";5;-
"260170 BELO JARDIM";12;-
"260180 BETANIA";2;1
"260190 BEZERROS";7;-
"260200 BODOCO";13;-
"260210 BOM CONSELHO";13;-
"260220 BOM JARDIM";10;-
"260230 BONITO";9;1
"260240 BREJAO";5;-
"260250 BREJINHO";-;-
"260260 BREJO DA MADRE DE DEUS";12;-
"260270 BUENOS AIRES";6;-
"260280 BUIQUE";16;1
"260290 CABO DE SANTO AGOSTINHO";42;1
"260300 CABROBO";9;-
"260310 CACHOEIRINHA";4;1
"260320 CAETES";10;1
"260330 CALCADO";2;-
"260340 CALUMBI";2;-
"260345 CAMARAGIBE";29;4
"260350 CAMOCIM DE SAO FELIX";3;-
"260360 CAMUTANGA";4;1
"260370 CANHOTINHO";3;-
"260380 CAPOEIRAS";4;-
"260390 CARNAIBA";7;-
"260392 CARNAUBEIRA DA PENHA";5;-
"260400 CARPINA";13;-
"260410 CARUARU";66;2
"260415 CASINHAS";3;1
"260420 CATENDE";15;-
"260430 CEDRO";6;-
"260440 CHA DE ALEGRIA";4;-
"260450 CHA GRANDE";7;-
"260460 CONDADO";8;-
"260470 CORRENTES";7;-
"260480 CORTES";1;-
"260490 CUMARU";-;-
"260500 CUPIRA";4;-
"260510 CUSTODIA";5;-
"260515 DORMENTES";8;-
"260520 ESCADA";16;1
"260530 EXU";11;1
"260540 FEIRA NOVA";4;-
"260545 FERNANDO DE NORONHA";-;-
"260550 FERREIROS";1;-
"260560 FLORES";2;-
"260570 FLORESTA";15;1
"260580 FREI MIGUELINHO";3;-
"260590 GAMELEIRA";10;-
"260600 GARANHUNS";31;-
"260610 GLORIA DO GOITA";5;1
"260620 GOIANA";15;-
"260630 GRANITO";2;-
"260640 GRAVATA";17;1
"260650 IATI";1;-
"260660 IBIMIRIM";5;-
"260670 IBIRAJUBA";-;1
"260680 IGARASSU";15;2
"260690 IGUARACY";2;-
"260700 INAJA";4;-
"260710 INGAZEIRA";-;-
"260720 IPOJUCA";15;2
"260730 IPUBI";14;-
"260740 ITACURUBA";2;-
"260750 ITAIBA";10;-
"260760 ILHA DE ITAMARACA";4;-
"260765 ITAMBE";8;-
"260770 ITAPETIM";2;-
"260775 ITAPISSUMA";6;-
"260780 ITAQUITINGA";7;-
"260790 JABOATAO DOS GUARARAPES";135;9
"260795 JAQUEIRA";2;-
"260800 JATAUBA";5;-
"260805 JATOBA";5;-
"260810 JOAO ALFREDO";5;2
"260820 JOAQUIM NABUCO";6;-
"260825 JUCATI";3;-
"260830 JUPI";6;-
"260840 JUREMA";7;-
"260845 LAGOA DO CARRO";3;-
"260850 LAGOA DE ITAENGA";8;-
"260860 LAGOA DO OURO";4;-
"260870 LAGOA DOS GATOS";7;-
"260875 LAGOA GRANDE";8;-
"260880 LAJEDO";4;-
"260890 LIMOEIRO";15;-
"260900 MACAPARANA";6;-
"260910 MACHADOS";4;-
"260915 MANARI";7;-
"260920 MARAIAL";4;-
"260930 MIRANDIBA";10;-
"260940 MORENO";16;1
"260950 NAZARE DA MATA";12;-
"260960 OLINDA";89;6
"260970 OROBO";8;-
"260980 OROCO";6;-
"260990 OURICURI";18;1
"261000 PALMARES";20;-
"261010 PALMEIRINA";-;-
"261020 PANELAS";5;-
"261030 PARANATAMA";1;-
"261040 PARNAMIRIM";10;-
"261050 PASSIRA";6;-
"261060 PAUDALHO";17;1
"261070 PAULISTA";38;2
"261080 PEDRA";5;-
"261090 PESQUEIRA";17;-
"261100 PETROLANDIA";4;-
"261110 PETROLINA";111;7
"261120 POCAO";6;-
"261130 POMBOS";2;1
"261140 PRIMAVERA";2;-
"261150 QUIPAPA";8;-
"261153 QUIXABA";-;-
"261160 RECIFE";392;28
"261170 RIACHO DAS ALMAS";3;-
"261180 RIBEIRAO";15;2
"261190 RIO FORMOSO";9;-
"261200 SAIRE";1;-
"261210 SALGADINHO";1;-
"261220 SALGUEIRO";21;1
"261230 SALOA";9;-
"261240 SANHARO";2;-
"261245 SANTA CRUZ";5;-
"261247 SANTA CRUZ DA BAIXA VERDE";4;-
"261250 SANTA CRUZ DO CAPIBARIBE";13;-
"261255 SANTA FILOMENA";5;-
"261260 SANTA MARIA DA BOA VISTA";19;-
"261270 SANTA MARIA DO CAMBUCA";4;-
"261280 SANTA TEREZINHA";1;-
"261290 SAO BENEDITO DO SUL";5;-
"261300 SAO BENTO DO UNA";10;-
"261310 SAO CAITANO";7;-
"261320 SAO JOAO";3;1
"261330 SAO JOAQUIM DO MONTE";9;1
"261340 SAO JOSE DA COROA GRANDE";4;-
"261350 SAO JOSE DO BELMONTE";13;1
"261360 SAO JOSE DO EGITO";6;-
"261370 SAO LOURENCO DA MATA";25;3
"261380 SAO VICENTE FERRER";5;-
"261390 SERRA TALHADA";17;-
"261400 SERRITA";5;-
"261410 SERTANIA";9;-
"261420 SIRINHAEM";13;-
"261430 MOREILANDIA";4;-
"261440 SOLIDAO";-;-
"261450 SURUBIM";5;-
"261460 TABIRA";1;-
"261470 TACAIMBO";4;-
"261480 TACARATU";4;1
"261485 TAMANDARE";4;1
"261500 TAQUARITINGA DO NORTE";8;-
"261510 TEREZINHA";2;-
"261520 TERRA NOVA";4;-
"261530 TIMBAUBA";11;-
"261540 TORITAMA";6;-
"261550 TRACUNHAEM";2;-
"261560 TRINDADE";11;1
"261570 TRIUNFO";3;-
"261580 TUPANATINGA";8;-
"261590 TUPARETAMA";2;-
"261600 VENTUROSA";5;-
"261610 VERDEJANTE";2;-
"261618 VERTENTE DO LERIO";3;-
"261620 VERTENTES";5;-
"261630 VICENCIA";10;3
"261640 VITORIA DE SANTO ANTAO";29;3
"261650 XEXEU";3;-
" MUNICIPIO IGNORADO - AL";-;-
"270010 AGUA BRANCA";8;-
"270020 ANADIA";6;-
"270030 ARAPIRACA";87;-
"270040 ATALAIA";15;1
"270050 BARRA DE SANTO ANTONIO";2;-
"270060 BARRA DE SAO MIGUEL";2;-
"270070 BATALHA";2;-
"270080 BELEM";-;-
"270090 BELO MONTE";-;-
"270100 BOCA DA MATA";5;-
"270110 BRANQUINHA";4;-
"270120 CACIMBINHAS";2;-
"270130 CAJUEIRO";8;-
"270135 CAMPESTRE";5;-
"270140 CAMPO ALEGRE";11;-
"270150 CAMPO GRANDE";-;-
"270160 CANAPI";3;-
"270170 CAPELA";2;1
"270180 CARNEIROS";4;-
"270190 CHA PRETA";3;-
"270200 COITE DO NOIA";3;-
"270210 COLONIA LEOPOLDINA";3;-
"270220 COQUEIRO SECO";4;-
"270230 CORURIPE";8;-
"270235 CRAIBAS";7;-
"270240 DELMIRO GOUVEIA";19;-
"270250 DOIS RIACHOS";3;-
"270255 ESTRELA DE ALAGOAS";2;1
"270260 FEIRA GRANDE";5;-
"270270 FELIZ DESERTO";1;-
"270280 FLEXEIRAS";3;-
"270290 GIRAU DO PONCIANO";14;-
"270300 IBATEGUARA";5;-
"270310 IGACI";2;-
"270320 IGREJA NOVA";3;-
"270330 INHAPI";3;-
"270340 JACARE DOS HOMENS";-;-
"270350 JACUIPE";1;-
"270360 JAPARATINGA";2;-
"270370 JARAMATAIA";-;-
"270375 JEQUIA DA PRAIA";-;-
"270380 JOAQUIM GOMES";6;-
"270390 JUNDIA";4;-
"270400 JUNQUEIRO";12;-
"270410 LAGOA DA CANOA";2;-
"270420 LIMOEIRO DE ANADIA";4;-
"270430 MACEIO";178;2
"270440 MAJOR ISIDORO";3;-
"270450 MARAGOGI";9;2
"270460 MARAVILHA";5;-
"270470 MARECHAL DEODORO";14;-
"270480 MARIBONDO";3;-
"270490 MAR VERMELHO";-;-
"270500 MATA GRANDE";7;-
"270510 MATRIZ DE CAMARAGIBE";4;-
"270520 MESSIAS";6;-
"270530 MINADOR DO NEGRAO";1;-
"270540 MONTEIROPOLIS";5;-
"270550 MURICI";7;-
"270560 NOVO LINO";2;-
"270570 OLHO D'AGUA DAS FLORES";9;-
"270580 OLHO D'AGUA DO CASADO";1;-
"270590 OLHO D'AGUA GRANDE";1;-
"270600 OLIVENCA";4;-
"270610 OURO BRANCO";2;-
"270620 PALESTINA";1;-
"270630 PALMEIRA DOS INDIOS";14;-
"270640 PAO DE ACUCAR";3;-
"270642 PARICONHA";3;-
"270644 PARIPUEIRA";1;-
"270650 PASSO DE CAMARAGIBE";3;-
"270660 PAULO JACINTO";2;1
"270670 PENEDO";16;-
"270680 PIACABUCU";2;-
"270690 PILAR";4;-
"270700 PINDOBA";1;-
"270710 PIRANHAS";2;-
"270720 POCO DAS TRINCHEIRAS";5;-
"270730 PORTO CALVO";9;-
"270740 PORTO DE PEDRAS";1;-
"270750 PORTO REAL DO COLEGIO";1;1
"270760 QUEBRANGULO";5;-
"270770 RIO LARGO";10;1
"270780 ROTEIRO";-;-
"270790 SANTA LUZIA DO NORTE";2;-
"270800 SANTANA DO IPANEMA";11;-
"270810 SANTANA DO MUNDAU";1;-
"270820 SAO BRAS";1;-
"270830 SAO JOSE DA LAJE";12;-
"270840 SAO JOSE DA TAPERA";16;-
"270850 SAO LUIS DO QUITUNDE";14;-
"270860 SAO MIGUEL DOS CAMPOS";13;-
"270870 SAO MIGUEL DOS MILAGRES";2;-
"270880 SAO SEBASTIAO";6;-
"270890 SATUBA";5;-
"270895 SENADOR RUI PALMEIRA";4;-
"270900 TANQUE D'ARCA";2;-
"270910 TAQUARANA";4;-
"270915 TEOTONIO VILELA";8;-
"270920 TRAIPU";9;-
"270930 UNIAO DOS PALMARES";14;-
"270940 VICOSA";2;-
" MUNICIPIO IGNORADO - SE";2;-
"280010 AMPARO DE SAO FRANCISCO";-;-
"280020 AQUIDABA";7;-
"280030 ARACAJU";175;6
"280040 ARAUA";2;-
"280050 AREIA BRANCA";5;-
"280060 BARRA DOS COQUEIROS";10;-
"280067 BOQUIM";3;-
"280070 BREJO GRANDE";7;-
"280100 CAMPO DO BRITO";4;-
"280110 CANHOBA";2;-
"280120 CANINDE DE SAO FRANCISCO";2;1
"280130 CAPELA";13;1
"280140 CARIRA";3;1
"280150 CARMOPOLIS";5;-
"280160 CEDRO DE SAO JOAO";2;-
"280170 CRISTINAPOLIS";5;-
"280190 CUMBE";1;-
"280200 DIVINA PASTORA";2;-
"280210 ESTANCIA";22;-
"280220 FEIRA NOVA";2;-
"280230 FREI PAULO";3;-
"280240 GARARU";6;-
"280250 GENERAL MAYNARD";-;-
"280260 GRACHO CARDOSO";2;-
"280270 ILHA DAS FLORES";1;-
"280280 INDIAROBA";3;-
"280290 ITABAIANA";18;-
"280300 ITABAIANINHA";15;-
"280310 ITABI";1;-
"280320 ITAPORANGA D'AJUDA";7;-
"280330 JAPARATUBA";7;-
"280340 JAPOATA";-;-
"280350 LAGARTO";26;1
"280360 LARANJEIRAS";10;1
"280370 MACAMBIRA";4;-
"280380 MALHADA DOS BOIS";1;-
"280390 MALHADOR";4;-
"280400 MARUIM";6;1
"280410 MOITA BONITA";1;-
"280420 MONTE ALEGRE DE SERGIPE";1;-
"280430 MURIBECA";4;-
"280440 NEOPOLIS";3;-
"280445 NOSSA SENHORA APARECIDA";2;-
"280450 NOSSA SENHORA DA GLORIA";6;1
"280460 NOSSA SENHORA DAS DORES";9;-
"280470 NOSSA SENHORA DE LOURDES";1;-
"280480 NOSSA SENHORA DO SOCORRO";41;1
"280490 PACATUBA";4;-
"280500 PEDRA MOLE";1;-
"280510 PEDRINHAS";3;-
"280520 PINHAO";3;-
"280530 PIRAMBU";1;-
"280540 POCO REDONDO";17;3
"280550 POCO VERDE";5;-
"280560 PORTO DA FOLHA";9;1
"280570 PROPRIA";14;-
"280580 RIACHAO DO DANTAS";8;1
"280590 RIACHUELO";2;1
"280600 RIBEIROPOLIS";8;1
"280610 ROSARIO DO CATETE";3;-
"280620 SALGADO";7;1
"280630 SANTA LUZIA DO ITANHY";3;-
"280640 SANTANA DO SAO FRANCISCO";-;-
"280650 SANTA ROSA DE LIMA";-;-
"280660 SANTO AMARO DAS BROTAS";4;-
"280670 SAO CRISTOVAO";21;-
"280680 SAO DOMINGOS";3;-
"280690 SAO FRANCISCO";1;-
"280700 SAO MIGUEL DO ALEIXO";2;-
"280710 SIMAO DIAS";10;-
"280720 SIRIRI";-;-
"280730 TELHA";1;-
"280740 TOBIAS BARRETO";11;2
"280750 TOMAR DO GERU";2;1
"280760 UMBAUBA";7;-
" MUNICIPIO IGNORADO - BA";22;1
"290010 ABAIRA";1;-
"290020 ABARE";14;-
"290030 ACAJUTIBA";6;-
"290035 ADUSTINA";3;-
"290040 AGUA FRIA";1;-
"290050 ERICO CARDOSO";1;-
"290060 AIQUARA";-;-
"290070 ALAGOINHAS";39;10
"290080 ALCOBACA";5;-
"290090 ALMADINA";-;-
"290100 AMARGOSA";8;-
"290110 AMELIA RODRIGUES";2;1
"290115 AMERICA DOURADA";4;-
"290120 ANAGE";7;-
"290130 ANDARAI";6;-
"290135 ANDORINHA";4;-
"290140 ANGICAL";1;-
"290150 ANGUERA";5;-
"290160 ANTAS";3;-
"290170 ANTONIO CARDOSO";2;-
"290180 ANTONIO GONCALVES";6;-
"290190 APORA";-;-
"290195 APUAREMA";2;1
"290200 ARACATU";4;1
"290205 ARACAS";7;-
"290210 ARACI";23;-
"290220 ARAMARI";7;-
"290225 ARATACA";3;-
"290230 ARATUIPE";-;-
"290240 AURELINO LEAL";9;-
"290250 BAIANOPOLIS";2;-
"290260 BAIXA GRANDE";4;1
"290265 BANZAE";2;-
"290270 BARRA";21;-
"290280 BARRA DA ESTIVA";10;1
"290290 BARRA DO CHOCA";12;-
"290300 BARRA DO MENDES";5;-
"290310 BARRA DO ROCHA";-;1
"290320 BARREIRAS";48;2
"290323 BARRO ALTO";5;-
"290327 BARROCAS";3;-
"290330 BARRO PRETO";-;-
"290340 BELMONTE";15;1
"290350 BELO CAMPO";10;-
"290360 BIRITINGA";4;1
"290370 BOA NOVA";8;-
"290380 BOA VISTA DO TUPIM";7;-
"290390 BOM JESUS DA LAPA";45;-
"290395 BOM JESUS DA SERRA";2;-
"290400 BONINAL";2;1
"290405 BONITO";5;1
"290410 BOQUIRA";7;-
"290420 BOTUPORA";4;-
"290430 BREJOES";6;-
"290440 BREJOLANDIA";1;-
"290450 BROTAS DE MACAUBAS";5;-
"290460 BRUMADO";19;1
"290470 BUERAREMA";5;-
"290475 BURITIRAMA";6;2
"290480 CAATIBA";-;-
"290485 CABACEIRAS DO PARAGUACU";8;-
"290490 CACHOEIRA";10;1
"290500 CACULE";4;-
"290510 CAEM";3;-
"290515 CAETANOS";-;-
"290520 CAETITE";13;-
"290530 CAFARNAUM";7;-
"290540 CAIRU";2;-
"290550 CALDEIRAO GRANDE";8;-
"290560 CAMACAN";5;-
"290570 CAMACARI";51;1
"290580 CAMAMU";6;-
"290590 CAMPO ALEGRE DE LOURDES";3;2
"290600 CAMPO FORMOSO";24;-
"290610 CANAPOLIS";2;-
"290620 CANARANA";6;1
"290630 CANAVIEIRAS";4;-
"290640 CANDEAL";4;-
"290650 CANDEIAS";20;1
"290660 CANDIBA";1;-
"290670 CANDIDO SALES";7;-
"290680 CANSANCAO";10;-
"290682 CANUDOS";5;-
"290685 CAPELA DO ALTO ALEGRE";1;-
"290687 CAPIM GROSSO";10;-
"290689 CARAIBAS";2;-
"290690 CARAVELAS";6;-
"290700 CARDEAL DA SILVA";3;-
"290710 CARINHANHA";6;-
"290720 CASA NOVA";22;1
"290730 CASTRO ALVES";10;1
"290740 CATOLANDIA";-;-
"290750 CATU";12;2
"290755 CATURAMA";-;-
"290760 CENTRAL";7;1
"290770 CHORROCHO";1;3
"290780 CICERO DANTAS";9;1
"290790 CIPO";4;-
"290800 COARACI";7;-
"290810 COCOS";8;-
"290820 CONCEICAO DA FEIRA";4;2
"290830 CONCEICAO DO ALMEIDA";4;-
"290840 CONCEICAO DO COITE";18;2
"290850 CONCEICAO DO JACUIPE";4;-
"290860 CONDE";6;-
"290870 CONDEUBA";1;-
"290880 CONTENDAS DO SINCORA";2;-
"290890 CORACAO DE MARIA";8;1
"290900 CORDEIROS";-;-
"290910 CORIBE";1;2
"290920 CORONEL JOAO SA";3;-
"290930 CORRENTINA";13;1
"290940 COTEGIPE";3;-
"290950 CRAVOLANDIA";2;-
"290960 CRISOPOLIS";6;2
"290970 CRISTOPOLIS";2;-
"290980 CRUZ DAS ALMAS";18;-
"290990 CURACA";7;-
"291000 DARIO MEIRA";1;-
"291005 DIAS D'AVILA";21;1
"291010 DOM BASILIO";3;-
"291020 DOM MACEDO COSTA";1;-
"291030 ELISIO MEDRADO";3;-
"291040 ENCRUZILHADA";7;-
"291050 ENTRE RIOS";10;3
"291060 ESPLANADA";14;-
"291070 EUCLIDES DA CUNHA";12;-
"291072 EUNAPOLIS";38;2
"291075 FATIMA";4;-
"291077 FEIRA DA MATA";3;-
"291080 FEIRA DE SANTANA";114;8
"291085 FILADELFIA";10;-
"291090 FIRMINO ALVES";-;-
"291100 FLORESTA AZUL";7;-
"291110 FORMOSA DO RIO PRETO";6;-
"291120 GANDU";13;-
"291125 GAVIAO";2;2
"291130 GENTIO DO OURO";1;-
"291140 GLORIA";5;-
"291150 GONGOGI";2;-
"291160 GOVERNADOR MANGABEIRA";6;-
"291165 GUAJERU";1;-
"291170 GUANAMBI";19;2
"291180 GUARATINGA";7;-
"291185 HELIOPOLIS";3;-
"291190 IACU";17;-
"291200 IBIASSUCE";-;-
"291210 IBICARAI";8;-
"291220 IBICOARA";10;1
"291230 IBICUI";3;-
"291240 IBIPEBA";7;-
"291250 IBIPITANGA";2;-
"291260 IBIQUERA";2;-
"291270 IBIRAPITANGA";8;-
"291280 IBIRAPUA";2;-
"291290 IBIRATAIA";3;-
"291300 IBITIARA";6;-
"291310 IBITITA";2;1
"291320 IBOTIRAMA";8;-
"291330 ICHU";2;-
"291340 IGAPORA";2;-
"291345 IGRAPIUNA";5;-
"291350 IGUAI";5;-
"291360 ILHEUS";54;2
"291370 INHAMBUPE";15;1
"291380 IPECAETA";5;-
"291390 IPIAU";16;-
"291400 IPIRA";19;1
"291410 IPUPIARA";3;-
"291420 IRAJUBA";3;-
"291430 IRAMAIA";3;-
"291440 IRAQUARA";1;-
"291450 IRARA";4;1
"291460 IRECE";16;-
"291465 ITABELA";13;-
"291470 ITABERABA";19;-
"291480 ITABUNA";55;1
"291490 ITACARE";3;1
"291500 ITAETE";5;-
"291510 ITAGI";4;-
"291520 ITAGIBA";5;-
"291530 ITAGIMIRIM";2;1
"291535 ITAGUACU DA BAHIA";1;-
"291540 ITAJU DO COLONIA";1;-
"291550 ITAJUIPE";6;-
"291560 ITAMARAJU";28;2
"291570 ITAMARI";2;-
"291580 ITAMBE";6;1
"291590 ITANAGRA";2;-
"291600 ITANHEM";5;-
"291610 ITAPARICA";4;-
"291620 ITAPE";2;-
"291630 ITAPEBI";7;1
"291640 ITAPETINGA";25;4
"291650 ITAPICURU";11;-
"291660 ITAPITANGA";-;-
"291670 ITAQUARA";-;-
"291680 ITARANTIM";7;-
"291685 ITATIM";2;-
"291690 ITIRUCU";5;-
"291700 ITIUBA";13;-
"291710 ITORORO";11;-
"291720 ITUACU";5;-
"291730 ITUBERA";9;-
"291733 IUIU";3;-
"291735 JABORANDI";3;-
"291740 JACARACI";5;-
"291750 JACOBINA";24;-
"291760 JAGUAQUARA";14;-
"291770 JAGUARARI";5;-
"291780 JAGUARIPE";1;-
"291790 JANDAIRA";2;-
"291800 JEQUIE";39;2
"291810 JEREMOABO";19;1
"291820 JIQUIRICA";2;-
"291830 JITAUNA";8;-
"291835 JOAO DOURADO";4;1
"291840 JUAZEIRO";88;5
"291845 JUCURUCU";4;-
"291850 JUSSARA";1;-
"291855 JUSSARI";4;-
"291860 JUSSIAPE";2;-
"291870 LAFAIETE COUTINHO";3;-
"291875 LAGOA REAL";1;-
"291880 LAJE";10;-
"291890 LAJEDAO";-;-
"291900 LAJEDINHO";2;-
"291905 LAJEDO DO TABOCAL";2;-
"291910 LAMARAO";3;-
"291915 LAPAO";9;-
"291920 LAURO DE FREITAS";40;1
"291930 LENCOIS";2;-
"291940 LICINIO DE ALMEIDA";2;-
"291950 LIVRAMENTO DE NOSSA SENHORA";3;-
"291955 LUIS EDUARDO MAGALHAES";16;-
"291960 MACAJUBA";5;-
"291970 MACARANI";4;1
"291980 MACAUBAS";13;-
"291990 MACURURE";1;-
"291992 MADRE DE DEUS";4;-
"291995 MAETINGA";2;-
"292000 MAIQUINIQUE";2;-
"292010 MAIRI";2;-
"292020 MALHADA";6;-
"292030 MALHADA DE PEDRAS";-;-
"292040 MANOEL VITORINO";4;-
"292045 MANSIDAO";3;-
"292050 MARACAS";9;-
"292060 MARAGOGIPE";4;-
"292070 MARAU";10;-
"292080 MARCIONILIO SOUZA";2;-
"292090 MASCOTE";4;1
"292100 MATA DE SAO JOAO";10;1
"292105 MATINA";5;2
"292110 MEDEIROS NETO";1;-
"292120 MIGUEL CALMON";9;1
"292130 MILAGRES";4;-
"292140 MIRANGABA";6;2
"292145 MIRANTE";5;-
"292150 MONTE SANTO";9;1
"292160 MORPARA";4;-
"292170 MORRO DO CHAPEU";4;1
"292180 MORTUGABA";4;-
"292190 MUCUGE";3;-
"292200 MUCURI";10;-
"292205 MULUNGU DO MORRO";3;1
"292210 MUNDO NOVO";7;-
"292220 MUNIZ FERREIRA";-;-
"292225 MUQUEM DE SAO FRANCISCO";1;1
"292230 MURITIBA";3;1
"292240 MUTUIPE";8;3
"292250 NAZARE";4;1
"292260 NILO PECANHA";4;1
"292265 NORDESTINA";4;-
"292270 NOVA CANAA";2;-
"292273 NOVA FATIMA";3;-
"292275 NOVA IBIA";2;-
"292280 NOVA ITARANA";-;-
"292285 NOVA REDENCAO";4;-
"292290 NOVA SOURE";9;-
"292300 NOVA VICOSA";14;1
"292303 NOVO HORIZONTE";-;-
"292305 NOVO TRIUNFO";2;-
"292310 OLINDINA";9;-
"292320 OLIVEIRA DOS BREJINHOS";5;-
"292330 OURICANGAS";3;-
"292335 OUROLANDIA";5;-
"292340 PALMAS DE MONTE ALTO";4;-
"292350 PALMEIRAS";-;-
"292360 PARAMIRIM";4;-
"292370 PARATINGA";11;-
"292380 PARIPIRANGA";10;-
"292390 PAU BRASIL";7;-
"292400 PAULO AFONSO";29;1
"292405 PE DE SERRA";5;-
"292410 PEDRAO";-;-
"292420 PEDRO ALEXANDRE";2;-
"292430 PIATA";5;1
"292440 PILAO ARCADO";9;-
"292450 PINDAI";3;1
"292460 PINDOBACU";2;-
"292465 PINTADAS";2;-
"292467 PIRAI DO NORTE";3;-
"292470 PIRIPA";1;-
"292480 PIRITIBA";3;-
"292490 PLANALTINO";-;-
"292500 PLANALTO";5;1
"292510 POCOES";15;-
"292520 POJUCA";9;-
"292525 PONTO NOVO";7;-
"292530 PORTO SEGURO";46;1
"292540 POTIRAGUA";2;-
"292550 PRADO";12;-
"292560 PRESIDENTE DUTRA";4;-
"292570 PRESIDENTE JANIO QUADROS";3;-
"292575 PRESIDENTE TANCREDO NEVES";5;-
"292580 QUEIMADAS";8;-
"292590 QUIJINGUE";9;-
"292593 QUIXABEIRA";1;-
"292595 RAFAEL JAMBEIRO";-;-
"292600 REMANSO";15;-
"292610 RETIROLANDIA";4;-
"292620 RIACHAO DAS NEVES";3;-
"292630 RIACHAO DO JACUIPE";9;-
"292640 RIACHO DE SANTANA";7;1
"292650 RIBEIRA DO AMPARO";6;1
"292660 RIBEIRA DO POMBAL";17;-
"292665 RIBEIRAO DO LARGO";2;-
"292670 RIO DE CONTAS";3;-
"292680 RIO DO ANTONIO";2;-
"292690 RIO DO PIRES";-;-
"292700 RIO REAL";14;-
"292710 RODELAS";3;-
"292720 RUY BARBOSA";18;-
"292730 SALINAS DA MARGARIDA";4;-
"292740 SALVADOR";594;33
"292750 SANTA BARBARA";3;-
"292760 SANTA BRIGIDA";7;-
"292770 SANTA CRUZ CABRALIA";8;-
"292780 SANTA CRUZ DA VITORIA";-;-
"292790 SANTA INES";4;-
"292800 SANTALUZ";3;-
"292805 SANTA LUZIA";3;-
"292810 SANTA MARIA DA VITORIA";8;-
"292820 SANTANA";4;-
"292830 SANTANOPOLIS";2;-
"292840 SANTA RITA DE CASSIA";6;-
"292850 SANTA TERESINHA";2;-
"292860 SANTO AMARO";7;1
"292870 SANTO ANTONIO DE JESUS";21;1
"292880 SANTO ESTEVAO";16;1
"292890 SAO DESIDERIO";3;1
"292895 SAO DOMINGOS";4;-
"292900 SAO FELIX";5;1
"292905 SAO FELIX DO CORIBE";3;-
"292910 SAO FELIPE";10;-
"292920 SAO FRANCISCO DO CONDE";8;-
"292925 SAO GABRIEL";9;-
"292930 SAO GONCALO DOS CAMPOS";8;-
"292935 SAO JOSE DA VITORIA";3;-
"292937 SAO JOSE DO JACUIPE";2;-
"292940 SAO MIGUEL DAS MATAS";3;-
"292950 SAO SEBASTIAO DO PASSE";8;1
"292960 SAPEACU";4;-
"292970 SATIRO DIAS";8;-
"292975 SAUBARA";1;-
"292980 SAUDE";6;1
"292990 SEABRA";9;1
"293000 SEBASTIAO LARANJEIRAS";3;-
"293010 SENHOR DO BONFIM";18;-
"293015 SERRA DO RAMALHO";8;-
"293020 SENTO SE";7;1
"293030 SERRA DOURADA";1;-
"293040 SERRA PRETA";6;-
"293050 SERRINHA";19;1
"293060 SERROLANDIA";4;-
"293070 SIMOES FILHO";24;2
"293075 SITIO DO MATO";1;-
"293076 SITIO DO QUINTO";4;-
"293077 SOBRADINHO";8;-
"293080 SOUTO SOARES";4;-
"293090 TABOCAS DO BREJO VELHO";-;-
"293100 TANHACU";8;-
"293105 TANQUE NOVO";5;-
"293110 TANQUINHO";2;1
"293120 TAPEROA";4;-
"293130 TAPIRAMUTA";8;1
"293135 TEIXEIRA DE FREITAS";36;-
"293140 TEODORO SAMPAIO";1;-
"293150 TEOFILANDIA";2;-
"293160 TEOLANDIA";5;-
"293170 TERRA NOVA";2;-
"293180 TREMEDAL";5;-
"293190 TUCANO";11;-
"293200 UAUA";7;-
"293210 UBAIRA";9;-
"293220 UBAITABA";7;-
"293230 UBATA";7;1
"293240 UIBAI";2;-
"293245 UMBURANAS";6;-
"293250 UNA";6;-
"293260 URANDI";2;-
"293270 URUCUCA";8;1
"293280 UTINGA";2;-
"293290 VALENCA";29;-
"293300 VALENTE";3;-
"293305 VARZEA DA ROCA";4;-
"293310 VARZEA DO POCO";5;-
"293315 VARZEA NOVA";2;-
"293317 VARZEDO";1;-
"293320 VERA CRUZ";6;-
"293325 VEREDA";2;-
"293330 VITORIA DA CONQUISTA";78;1
"293340 WAGNER";1;-
"293345 WANDERLEY";2;-
"293350 WENCESLAU GUIMARAES";5;-
"293360 XIQUE-XIQUE";14;1
" MUNICIPIO IGNORADO - MG";3;-
"310010 ABADIA DOS DOURADOS";1;-
"310020 ABAETE";3;-
"310030 ABRE CAMPO";4;-
"310040 ACAIACA";-;-
"310050 ACUCENA";1;-
"310060 AGUA BOA";3;-
"310070 AGUA COMPRIDA";-;-
"310080 AGUANIL";-;-
"310090 AGUAS FORMOSAS";5;-
"310100 AGUAS VERMELHAS";2;-
"310110 AIMORES";5;-
"310120 AIURUOCA";-;-
"310130 ALAGOA";-;-
"310140 ALBERTINA";-;-
"310150 ALEM PARAIBA";4;-
"310160 ALFENAS";15;1
"310163 ALFREDO VASCONCELOS";1;-
"310170 ALMENARA";9;-
